Clasificación,Cargo,Tamaño de la Empresa,Mínima M$,Máxima M$,Moda M$,Junior (M$),Semi Senior (M$),Senior (M$)
Ejecutivo,CIO (Chief Information Officer),Grande,"8.000,00","15.000,00","10.000,00",null,null,null
Ejecutivo,CIO (Chief Information Officer),Mediana,"5.000,00","9.000,00","6.500,00",null,null,null
Ejecutivo,Gerente de Seguridad (CISO),Grande,"5.000,00","8.500,00","6.500,00",null,null,null
Ejecutivo,Gerente de Seguridad (CISO),Mediana,null,null,null,null,null,null
Ejecutivo,CTO (Chief Technology Officer),Grande,"5.000,00","8.000,00","7.500,00",null,null,null
Ejecutivo,CTO (Chief Technology Officer),Mediana,"3.800,00","6.000,00","5.000,00",null,null,null
Ejecutivo,CDO (Chief Digital Officer),Grande,"4.500,00","8.000,00","7.500,00",null,null,null
Ejecutivo,CDO (Chief Digital Officer),Mediana,"3.500,00","6.000,00","5.000,00",null,null,null
Ejecutivo,Gerente de E-Commerce,Grande,"5.000,00","8.500,00","7.000,00",null,null,null
Ejecutivo,Gerente de E-Commerce,Mediana,"4.000,00","6.000,00","5.000,00",null,null,null
Ejecutivo,Gerente de Operaciones y Tecnología,Grande,"5.000,00","8.000,00","7.500,00",null,null,null
Ejecutivo,Gerente de Operaciones y Tecnología,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente Logística TI,Grande,"4.100,00","8.300,00","6.500,00",null,null,null
Ejecutivo,Gerente Logística TI,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente de Servicios,Grande,"4.500,00","8.500,00","6.500,00",null,null,null
Ejecutivo,Gerente de Servicios,Mediana,"3.500,00","7.000,00","5.000,00",null,null,null
Ejecutivo,Gerente de Infraestructura,Grande,"4.500,00","8.000,00","7.000,00",null,null,null
Ejecutivo,Gerente de Infraestructura,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente de Transformación Digital,Grande,"4.500,00","9.500,00","8.000,00",null,null,null
Ejecutivo,Gerente de Transformación Digital,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente de Arquitectura Empresarial,Grande,"4.500,00","8.500,00","7.000,00",null,null,null
Ejecutivo,Gerente de Arquitectura Empresarial,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente de Business Intelligence,Grande,"4.000,00","7.000,00","5.500,00",null,null,null
Ejecutivo,Gerente de Business Intelligence,Mediana,null,null,null,null,null,null
Ejecutivo,Gerente de Innovación,Grande,"4.300,00","8.000,00","7.000,00",null,null,null
Ejecutivo,Gerente de Innovación,Mediana,null,null,null,null,null,null
Ejecutivo,Director de Informática (Educación/Institutos),Grande,"5.000,00","14.000,00","8.500,00",null,null,null
Ejecutivo,Director de Informática (Educación/Institutos),Mediana,"3.500,00","9.000,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Infraestructura,Grande,"3.800,00","6.500,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Infraestructura,Mediana,"3.000,00","4.800,00","4.300,00",null,null,null
Ejecutivo,Subgerente de Desarrollo Digital,Grande,"4.000,00","7.000,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Desarrollo Digital,Mediana,"3.000,00","4.500,00","3.800,00",null,null,null
Ejecutivo,Subgerente de Telecomunicaciones,Grande,"3.100,00","5.000,00","4.500,00",null,null,null
Ejecutivo,Subgerente de Telecomunicaciones,Mediana,"2.800,00","4.500,00","3.500,00",null,null,null
Ejecutivo,Subgerente de Aplicaciones,Grande,"3.200,00","6.500,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Aplicaciones,Mediana,"2.900,00","4.500,00","3.800,00",null,null,null
Ejecutivo,Subgerente de Ciberseguridad,Grande,"3.500,00","6.500,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Ciberseguridad,Mediana,"3.000,00","5.000,00","3.500,00",null,null,null
Ejecutivo,Subgerente de Arquitectura,Grande,"3.500,00","6.500,00","5.000,00",null,null,null
Ejecutivo,Subgerente de Arquitectura,Mediana,"3.000,00","5.000,00","4.000,00",null,null,null
Ejecutivo,Subgerente de Redes,Grande,"3.000,00","5.000,00","4.500,00",null,null,null
Ejecutivo,Subgerente de Redes,Mediana,"2.500,00","4.500,00","3.500,00",null,null,null
Ejecutivo,Subgerente de Procesos,Grande,"3.500,00","5.000,00","4.500,00",null,null,null
Ejecutivo,Subgerente de Procesos,Mediana,"3.000,00","3.500,00","3.000,00",null,null,null
Ejecutivo,Subgerente PMO (Project Management Office),Grande,"3.000,00","5.500,00","4.800,00",null,null,null
Ejecutivo,Subgerente PMO (Project Management Office),Mediana,"2.800,00","4.000,00","3.500,00",null,null,null
Ejecutivo,Subgerente de QA (Quality Assurance),Grande,"2.900,00","5.500,00","4.000,00",null,null,null
Ejecutivo,Subgerente de QA (Quality Assurance),Mediana,"2.500,00","3.500,00","3.200,00",null,null,null
Ejecutivo,Subgerente de BI (Business Intelligence),Grande,"3.000,00","5.500,00","4.500,00",null,null,null
Ejecutivo,Subgerente de BI (Business Intelligence),Mediana,"2.500,00","3.500,00","3.300,00",null,null,null
Comercial,Gerente Comercial,Grande,null,null,null,null,"4.800,00","6.500,00"
Comercial,Gerente Comercial,Mediana,null,null,null,null,"3.500,00","4.700,00"
Comercial,Gerente de Ventas,Grande,null,null,null,null,"4.500,00","6.000,00"
Comercial,Gerente de Ventas,Mediana,null,null,null,null,"3.000,00","4.400,00"
Comercial,Gerente de Canales,Grande,null,null,null,null,"3.800,00","4.400,00"
Comercial,Gerente de Canales,Mediana,null,null,null,null,"2.900,00","3.800,00"
Comercial,Subgerente de Preventa,Grande,null,null,null,null,"3.300,00","4.100,00"
Comercial,Subgerente de Preventa,Mediana,null,null,null,null,"2.900,00","3.300,00"
Comercial,Product Manager,Grande,null,null,null,null,"3.000,00","4.500,00"
Comercial,Product Manager,Mediana,null,null,null,null,"1.600,00","2.800,00"
Comercial,Account Manager,Grande,null,null,null,"1.500,00","2.500,00","3.000,00"
Comercial,Account Manager,Mediana,null,null,null,800,"1.300,00","2.500,00"
Comercial,KAM,Grande,null,null,null,"1.400,00","1.800,00","2.500,00"
Comercial,KAM,Mediana,null,null,null,700,"1.000,00","2.400,00"
Especialista,Full Stack Developer Inglés,null,null,null,null,"2.850,00","3.600,00","4.500,00"
Especialista,Full Stack Developer,null,null,null,null,"2.400,00","3.100,00","3.850,00"
Especialista,Desarrollador Front End,null,null,null,null,"2.000,00","2.600,00","3.100,00"
Especialista,Desarrollador Back End,null,null,null,null,"2.000,00","2.750,00","3.100,00"
Especialista,Ingeniero en Ciberseguridad,null,null,null,null,"1.900,00","2.800,00","3.700,00"
Especialista,Arquitecto Empresarial,null,null,null,null,null,"4.200,00","5.100,00"
Especialista,Arquitecto de Aplicaciones,null,null,null,null,"2.500,00","3.550,00","4.350,00"
Especialista,Arquitecto Cloud,null,null,null,null,"2.500,00","3.500,00","4.300,00"
Especialista,DevOps,null,null,null,null,"2.000,00","2.800,00","3.650,00"
Especialista,Scrum Master,null,null,null,null,null,"2.850,00","3.500,00"
Especialista,Desarrollador Mobile,null,null,null,null,"2.500,00","3.600,00","4.500,00"
Especialista,Quality Assurance,null,null,null,null,"2.000,00","2.450,00","2.800,00"
Especialista,Quality Assurance Automatizador,null,null,null,null,"2.300,00","2.700,00","3.300,00"
Especialista,Product Owner (PO),null,null,null,null,null,"3.100,00","3.950,00"
Especialista,Data Engineer,null,null,null,null,"2.600,00","3.200,00","4.200,00"
Especialista,Diseñador UX/UI,null,null,null,null,"1.400,00","1.900,00","2.800,00"
Especialista,Jefe de Proyectos,null,null,null,null,"2.200,00","2.900,00","3.600,00"
Especialista,Líder Técnico,null,null,null,null,null,"3.600,00","4.250,00"
Especialista,Project Manager (PM),null,null,null,null,"2.400,00","3.200,00","4.100,00"
Especialista,PMO (Project Management Office),null,null,null,null,"2.500,00","3.000,00","4.200,00"
Especialista,QA (Quality Assurance),null,null,null,null,"1.900,00","2.800,00","4.000,00"
Especialista,Jefe de Informática,null,null,null,null,null,"2.800,00","3.500,00"
Especialista,Jefe de Mesa de Ayuda,null,null,null,null,null,"3.100,00","3.900,00"
Especialista,Oficial de Seguridad,null,null,null,null,null,"3.100,00","3.900,00"
Especialista,Ingeniero de Procesos,null,null,null,null,"1.900,00","2.800,00","3.500,00"
Especialista,Administrador de Plataformas,null,null,null,null,"1.600,00","2.500,00","2.800,00"
Especialista,Administrador de Base de Datos,null,null,null,null,"2.300,00","3.100,00","3.800,00"
Especialista,Especialista BI (Business Intelligence),null,null,null,null,"1.900,00","2.600,00","3.500,00"
Especialista,Ingeniero de Sistemas,null,null,null,null,"1.200,00","2.000,00","2.600,00"
Especialista,Soporte TI,null,null,null,null,800,"1.300,00","2.400,00"
Especialista,Analista de Testing,null,null,null,null,"1.000,00","1.400,00","1.800,00"
SAP,Consultor SUCCESS FACTORS,null,null,null,null,"2.250,00","3.100,00","3.650,00"
SAP,Desarrollador ABAP,null,null,null,null,"2.000,00","2.500,00","3.000,00"
SAP,FIORI,null,null,null,null,"2.300,00","2.800,00","3.400,00"
SAP,Consultor FICO,null,null,null,null,"2.300,00","2.900,00","3.400,00"
SAP,Consultor FI,null,null,null,null,"2.100,00","2.750,00","3.500,00"
SAP,Consultor CO,null,null,null,null,"2.100,00","2.700,00","3.450,00"
SAP,Consultor SD,null,null,null,null,"2.200,00","2.800,00","3.400,00"
SAP,Consultor MM,null,null,null,null,"2.000,00","2.450,00","3.100,00"
SAP,Consultor SD – MM,null,null,null,null,"2.000,00","2.500,00","3.300,00"
SAP,Consultor BASIS,null,null,null,null,"2.000,00","2.600,00","3.100,00"
SAP,Consultor CRM,null,null,null,null,"2.200,00","2.950,00","3.700,00"
SAP,Consultor PI,null,null,null,null,"2.250,00","3.000,00","3.700,00"
SAP,Consultor BI – BO – SAC,null,null,null,null,"2.100,00","2.800,00","3.500,00"
SAP,Consultor LO,null,null,null,null,"2.150,00","2.800,00","3.500,00"
SAP,Consultor LE,null,null,null,null,"2.150,00","2.900,00","3.650,00"
SAP,Consultor PP,null,null,null,null,"2.000,00","2.700,00","3.200,00"
SAP,Consultor QM,null,null,null,null,"2.200,00","2.750,00","3.400,00"
SAP,Consultor HCM,null,null,null,null,"2.200,00","2.750,00","3.400,00"
SAP,Consultor PM,null,null,null,null,"2.200,00","2.700,00","3.200,00"
