Clasificación;Cargo;Tamaño de la Empresa;Mínima M$;Máxima M$;Moda M$;Junior (M$);Semi Senior (M$);Senior (M$)
Ejecutivo;CIO (Chief Information Officer);Grande;8000;15000;10000;;;
Ejecutivo;CIO (Chief Information Officer);Mediana;5000;9000;6500;;;
Ejecutivo;Gerente de Seguridad (CISO);Grande;5000;8500;6500;;;
Ejecutivo;Gerente de Seguridad (CISO);Mediana;;;;;;
Ejecutivo;CTO (Chief Technology Officer);Grande;5000;8000;7500;;;
Ejecutivo;CTO (Chief Technology Officer);Mediana;3800;6000;5000;;;
Ejecutivo;CDO (Chief Digital Officer);Grande;4500;8000;7500;;;
Ejecutivo;CDO (Chief Digital Officer);Mediana;3500;6000;5000;;;
Ejecutivo;Gerente de E-Commerce;Grande;5000;8500;7000;;;
Ejecutivo;Gerente de E-Commerce;Mediana;4000;6000;5000;;;
Ejecutivo;Gerente de Operaciones y Tecnología;Grande;5000;8000;7500;;;
Ejecutivo;Gerente de Operaciones y Tecnología;Mediana;;;;;;
Ejecutivo;Gerente Logística TI;Grande;4100;8300;6500;;;
Ejecutivo;Gerente Logística TI;Mediana;;;;;;
Ejecutivo;Gerente de Servicios;Grande;4500;8500;6500;;;
Ejecutivo;Gerente de Servicios;Mediana;3500;7000;5000;;;
Ejecutivo;Gerente de Infraestructura;Grande;4500;8000;7000;;;
Ejecutivo;Gerente de Infraestructura;Mediana;;;;;;
Ejecutivo;Gerente de Transformación Digital;Grande;4500;9500;8000;;;
Ejecutivo;Gerente de Transformación Digital;Mediana;;;;;;
Ejecutivo;Gerente de Arquitectura Empresarial;Grande;4500;8500;7000;;;
Ejecutivo;Gerente de Arquitectura Empresarial;Mediana;;;;;;
Ejecutivo;Gerente de Business Intelligence;Grande;4000;7000;5500;;;
Ejecutivo;Gerente de Business Intelligence;Mediana;;;;;;
Ejecutivo;Gerente de Innovación;Grande;4300;8000;7000;;;
Ejecutivo;Gerente de Innovación;Mediana;;;;;;
Ejecutivo;Director de Informática (Educación/Institutos);Grande;5000;14000;8500;;;
